sourceX,sourceY,sourceZ,sourceAz,sourceEl,tdoaX,tdoaY,tdoaZ,tdoa_error_cm,tdoaAz,tdoaEl
-5,-5,-5,-136.397181027296,-34.5922886875099,-2.50566303412733,-2.50564237967268,-2.50564246222288,432.034215817097,-137.720685969059,-33.9305146756739
-5,-5,-4.5,-136.397181027296,-31.8274465766731,-3.64047868749947,-3.64026475495434,-3.28069555456388,227.681388488888,-136.902990116929,-31.6226295348647
-5,-5,-4,-136.397181027296,-28.8865817669107,-2.88193030523137,-2.88244202117315,-2.30511886653916,344.135047360074,-137.375382533517,-28.4380981016655
-5,-5,-3.5,-136.397181027296,-25.7693276243387,-5.6890978568243,-5.68397945783828,-3.98703434174614,108.622566949262,-136.257400293822,-25.8732566974866
-5,-5,-3,-136.397181027296,-22.4794343971031,-5.05280760356992,-5.05667450206779,-3.02902600056983,8.27233394424399,-136.361046340904,-22.4595928402344
-5,-5,-2.5,-136.397181027296,-19.0256060375687,-4.88038167567859,-4.88215136174591,-2.43506555891538,18.0037014779676,-136.420183727202,-18.9746895273704
-5,-5,-2,-136.397181027296,-15.4221613187387,-4.93404522572094,-4.93008425008515,-1.98022838743912,9.81282884779727,-136.438367503686,-15.4720483881337
-5,-5,-1.5,-136.397181027296,-11.6893691754392,-3.98003128251006,-3.98051789940431,-1.19375018226003,147.426893372913,-136.740646701544,-11.6137598630524
-5,-5,-1,-136.397181027296,-7.85331330197822,-4.78181842435035,-4.7787857978815,-0.963365409578093,31.2859419527796,-136.477430730811,-7.90353916671819
-5,-5,-0.5,-136.397181027296,-3.94518622903756,-5.06389991215558,-5.06022873094472,-0.512576736322932,8.87066688656432,-136.400733772719,-3.99585931775114
-5,-5,0,-136.397181027296,0,-4.15338861823279,-4.15038918935971,3.23094672909441e-07,119.941208985684,-136.694172437251,3.05928247793369e-06
-5,-5,0.5,-136.397181027296,3.94518622903756,-5.06391329257256,-5.06024199938359,0.512578149648471,8.87255166554582,-136.400730794063,3.99586007365302
-5,-5,1,-136.397181027296,7.85331330197822,-4.78184945449735,-4.77881672274742,0.963371612917553,31.2815187258475,-136.477422019321,7.90354016599448
-5,-5,1.5,-136.397181027296,11.6893691754392,-3.98004602446149,-3.98053213331822,1.19375480215507,147.424793186783,-136.740644104386,11.613763730928
-5,-5,2,-136.397181027296,15.4221613187387,-4.93403676599605,-4.93007522211223,1.98022482859548,9.81411239338122,-136.438373206695,15.4720473473809
-5,-5,2.5,-136.397181027296,19.0256060375687,-4.88041763406454,-4.88218690056182,2.43508327279251,17.9983471778064,-136.420175989679,18.9746919422551
-5,-5,3,-136.397181027296,22.4794343971031,-5.05271893581221,-5.0565861384113,3.02897258409349,8.25874559635311,-136.361067910251,22.4595816135244
-5,-5,3.5,-136.397181027296,25.7693276243387,-5.68902414791284,-5.6839046144945,3.98698246906841,108.610852280693,-136.257421948998,25.8732513469482
-5,-5,4,-136.397181027296,28.8865817669107,-2.88192195586709,-2.88243306190521,2.30511231013635,344.13643543806,-137.375395162037,28.4380986884168
-5,-5,4.5,-136.397181027296,31.8274465766731,-3.64054964588836,-3.64033400294276,3.28075858721282,227.669640301539,-136.902967712584,31.622645096004
-5,-5,5,-136.397181027296,34.5922886875099,-2.50565867687539,-2.50563780193397,2.50563826665153,432.034973910458,-137.72069297822,33.9305151528748
-5,-4.5,-5,-139.398705354996,-35.8707491767088,-3.64051956675988,-3.28073264592738,-3.64030614235118,227.674489471217,-139.860291180878,-35.5764686529397
-5,-4.5,-4.5,-139.398705354996,-33.055731150854,-3.07827864259082,-2.76689203968778,-2.76689152265417,311.45370718404,-140.262295693623,-32.5897186193272
-5,-4.5,-4,-139.398705354996,-30.0485752679681,-3.13696135146346,-2.81261827776125,-2.50616789669428,292.398776251767,-140.292902788302,-29.6509308101673
