sourceX,sourceY,sourceZ,sourceAz,sourceEl,tdoaX,tdoaY,tdoaZ,tdoa_error_cm,tdoaAz,tdoaEl
-5,-5,-5,-135,-36.6611554796412,-5.26376564228817,-5.26376526427905,5.27174136810797,1027.85123029548,-135.000002159886,36.6304306289147
-5,-5,-4.5,-135,-33.8177602255621,-4.89846420499568,-4.89846433576943,4.40309351120942,890.425140470086,-134.999999194058,33.813460145175
-5,-5,-4,-135,-30.7720364604409,-4.96785556496913,-4.96785548076369,3.97286456695814,797.299416391841,-135.000000511315,30.771615511776
-5,-5,-3.5,-135,-27.5206876100191,-4.71152963229253,-4.71152965141695,3.30671844852343,681.893293210354,-134.9999998772,27.6581807631191
-5,-5,-3,-135,-24.0652405863064,-5.1495878400381,-5.14958783116972,3.07990041739669,608.357971317725,-135.000000051853,23.9646751163633
-5,-5,-2.5,-135,-20.4133272138968,-5.17323618261084,-5.17323582452488,2.59505457811871,510.094134252422,-135.000002083672,20.4413506441907
-5,-5,-2,-135,-16.5798037785858,-4.89580313155613,-4.89584677059025,1.9468893409888,394.963800272899,-134.999730905436,16.5056983824969
-5,-5,-1.5,-135,-12.5874700295654,-5.13073197030532,-5.13072775733435,1.55538910580707,306.097748807176,-135.000024728418,12.6989521384497
-5,-5,-1,-135,-8.46713209511166,-4.80287406656288,-4.80287401883659,0.94865723244155,196.84974715833,-135.000000300306,8.3814268217604
-5,-5,-0.5,-135,-4.25680667588752,-4.91336221181241,-4.91336240849813,0.460027003458298,96.7814045141112,-134.999998791724,3.99014714441178
-5,-5,0,-135,0,-4.93250562639668,-4.93250548701495,0.0638045889584915,11.4813001543184,-135.000000852747,0.552036520047987
-5,-5,0.5,-135,4.25680667588752,-4.91336221181241,-4.91336240849813,0.460027003458298,12.8879862879376,-134.999998791724,3.99014714441178
-5,-5,1,-135,8.46713209511166,-4.80287406656288,-4.80287401883659,0.94865723244155,28.3466692688317,-135.000000300306,8.3814268217604
-5,-5,1.5,-135,12.5874700295654,-5.13073197030532,-5.13072775733435,1.55538910580707,19.2998828078533,-135.000024728418,12.6989521384497
-5,-5,2,-135,16.5798037785858,-4.89580313155613,-4.89584677059025,1.9468893409888,15.6606592104523,-134.999730905436,16.5056983824969
