sourceX,sourceY,sourceZ,sourceAz,sourceEl,tdoaX,tdoaY,tdoaZ,tdoa_error_cm,tdoaAz,tdoaEl
-5,-5,-5,-135,-36.6611554796412,-0.432172740979759,-0.432172740931423,-0.531959593817082,785.451951479029,-135.000000007601,-64.1588200772265
-5,-5,-4.5,-135,-33.8177602255621,-0.354541862889691,-0.354541862887614,-0.405788693432039,774.100308940237,-135.000000000569,-69.9813608433377
-5,-5,-4,-135,-30.7720364604409,-0.305304000632136,-0.305304000623071,-0.320731984912802,759.060960528797,-135.000000004696,-76.2956770439981
-5,-5,-3.5,-135,-27.5206876100191,-0.266105372639117,-0.266105372657539,-0.248766537923913,744.244823365681,-134.999999967232,-84.7687280049774
-5,-5,-3,-135,-24.0652405863064,-0.239891823397346,-0.239891823399208,-0.194311241327623,729.308913399814,44.9999999947226,-85.7924348477386
-5,-5,-2.5,-135,-20.4133272138968,-0.218825117492193,-0.218825117492428,-0.144774402254726,716.00526625521,44.9999999997848,-73.0630094846581
-5,-5,-2,-135,-16.5798037785858,-0.204183319494943,-0.204183319494983,-0.0996754266758442,704.350401078897,44.9999999999748,-56.9738923608063
-5,-5,-1.5,-135,-12.5874700295654,-5.17311428190306,-5.17311394873785,-1.55271613034491,25.043159593982,-135.000001938708,-12.5721723053628
-5,-5,-1,-135,-8.46713209511166,-4.74979646560082,-4.74979622765786,-0.9461734340093,35.7912049987747,-135.00000151486,-8.45698359167518
-5,-5,-0.5,-135,-4.25680667588752,-4.83408663047648,-4.83408663085978,-0.478416852057929,23.5627512233176,-134.999999997605,-4.22060542667581
-5,-5,0,-135,0,-0.195282998665655,-0.195282998665407,0.0417337026408823,679.502410796026,45.0000000001294,28.3390438499256
-5,-5,0.5,-135,4.25680667588752,-0.202506756791377,-0.202506756791377,0.072750392294682,679.811922994508,45,47.28577107046
-5,-5,1,-135,8.46713209511166,-0.213091388424985,-0.213091388424985,0.104913777792735,682.862851942667,45,63.5487554943242
-5,-5,1.5,-135,12.5874700295654,-0.223999526667115,-0.223999526667115,0.134852502673003,689.086269867642,45,74.7479395577226
-5,-5,2,-135,16.5798037785858,-0.238871764138822,-0.238871764138822,0.167937018319872,697.804692772067,45,84.6463372194701
-5,-5,2.5,-135,20.4133272138968,-0.251517251297249,-0.251517251297249,0.199358527727322,709.852998961026,-135,89.3833431492548
-5,-5,3,-135,24.0652405863064,-0.266771475588757,-0.266771475588757,0.234085027512245,724.273361125704,-135,84.2143041261694
-5,-5,3.5,-135,27.5206876100191,-0.279415863411583,-0.279415863414405,0.267172078679412,741.747973034398,-134.999999997252,81.1497658280496
-5,-5,4,-135,30.7720364604409,-0.290331214387147,-0.290331214417901,0.300903351795398,761.874505104488,-134.999999978155,79.2667873711631
-5,-5,4.5,-135,33.8177602255621,-0.297372878648702,-0.297372878647781,0.331026244055142,784.918759252849,-135.000000000557,78.5586300766212
-5,-5,5,-135,36.6611554796412,-0.298110165886497,-0.298110165886497,0.355820612646784,811.072981957828,-135,79.1748884711412
-5,-4.5,-5,-138.179830119864,-38.1129265009866,-0.506843720197836,-0.449448010806552,-0.603499166533133,747.82781675035,-142.169427580477,-61.6824365520219
-5,-4.5,-4.5,-138.179830119864,-35.2227832630921,-0.412237325114889,-0.362395578229122,-0.457602280941423,738.297474133407,-145.286365224388,-66.6691368833231
-5,-4.5,-4,-138.179830119864,-32.1112157770946,-0.346692719173687,-0.302983321370073,-0.353804481803553,725.003168320007,-151.279213151232,-72.6911924428453
-5,-4.5,-3.5,-138.179830119864,-28.7722969279795,-0.300341410630209,-0.260780361252356,-0.274425266862021,710.366851431281,-167.912951661967,-79.3746943672218
-5,-4.5,-3,-138.179830119864,-25.2053681460575,-0.267318821666286,-0.230526631363729,-0.2107685060595,695.747700736683,131.648592358951,-82.9514096272132
-5,-4.5,-2.5,-138.179830119864,-21.4167140330336,-0.242049517316676,-0.207160282600395,-0.156734150528698,682.33027542568,79.4862810855988,-74.4643645144844
-5,-4.5,-2,-138.179830119864,-17.4211174532995,-0.22477471746988,-0.190993505637006,-0.108628031913605,670.42972330469,66.8532870763584,-59.4274249418874
-5,-4.5,-1.5,-138.179830119864,-13.2429762198235,-4.9528007747888,-4.45238245885883,-1.48374029887581,6.89896728903474,-138.216299324913,-13.2385887344723
-5,-4.5,-1,-138.179830119864,-8.91661365961364,-4.98187091392175,-4.47361122791445,-0.988829880823811,3.3908739531658,-138.248281683599,-8.86114636779827
-5,-4.5,-0.5,-138.179830119864,-4.48546483215546,-0.208702564799933,-0.176007425943918,0.00752573173665627,647.387250889463,60.8328268784582,5.07527641157108
-5,-4.5,0,-138.179830119864,0,-0.212770950265566,-0.179698801119206,0.0406278677360766,644.858240602606,62.0958746784985,27.0542555635602
-5,-4.5,0.5,-138.179830119864,4.48546483215546,-0.221299034090881,-0.187388703996532,0.0747738331310394,645.100119399985,65.3733181402187,47.3510236137312
-5,-4.5,1,-138.179830119864,8.91661365961364,-0.233298391025644,-0.197345300709197,0.107643488884846,648.309970872403,72.4014291374084,62.8342036698379
-5,-4.5,1.5,-138.179830119864,13.2429762198235,-0.247423417141795,-0.210770864083462,0.141790327613031,654.440251440061,86.2421913158343,74.5031060790383
-5,-4.5,2,-138.179830119864,17.4211174532995,-0.262663303411695,-0.225167524287422,0.175955060234465,663.654214290344,117.019275896363,80.9979748877452
-5,-4.5,2.5,-138.179830119864,21.4167140330336,-0.277292587887402,-0.238949885814476,0.210192994399344,676.04533501032,157.958155671769,82.0256626775053
